,Nr.,Name,Abbrev.,General Formula,Specific Formula,Calculated,Info.,description
15,16,Chlorophyll IndexRedEdge,CIrededge,NIRrededge-1,95-1,Automatic,More,"The Chlorophyll Index RedEdge (CIrededge) is a vegetation index derived from Sentinel-2 satellite imagery. It is calculated using the red-edge band (740 nm) and the near-infrared band (865 nm) and is sensitive to the presence of chlorophyll in vegetation. CIrededge is used to estimate vegetation chlorophyll content, canopy chlorophyll content, and leaf area index. It is also used to monitor vegetation health and stress, and to detect changes in vegetation cover."
16,17,Chlorophyll Red-Edge,Chlred-edge,([760:800][690:720])(-1),(75)(-1),Automatic,More,"The Chlorophyll Red-Edge index (ChlRed-edge) is a spectral vegetation index designed to estimate chlorophyll content in vegetation canopies. It is calculated using the reflectance values in the red-edge region of the electromagnetic spectrum, where chlorophyll exhibits a strong absorption feature. The index is sensitive to changes in chlorophyll content and canopy structure, and it has been widely used to monitor vegetation dynamics, assess crop health, and estimate primary productivity."
17,18,Chlorophyll vegetation index,CVI,NIRREDGREEN2,9532,Automatic,More,"The Chlorophyll Vegetation Index (CVI) is a measure of vegetation greenness and chlorophyll content. It is calculated using the near-infrared (NIR) and green bands of the Sentinel-2 satellite imagery. The CVI is a proxy for leaf area index (LAI) and can be used to monitor vegetation growth and productivity. It is also used to assess the health of vegetation and to detect stress caused by factors such as drought, disease, or pollution."
18,19,Coloration Index,CI,RED-BLUERED,2015-05-01 00:00:00,Automatic,More,"The Coloration Index (CI) is an index derived from Sentinel-2 satellite imagery that measures the relative greenness and redness of vegetation. It is calculated as the ratio of the near-infrared band (Band 8) to the red band (Band 4), and is sensitive to changes in chlorophyll content, leaf area, and canopy structure. Higher CI values indicate healthier vegetation, while lower values indicate vegetation under stress or with reduced photosynthetic activity."
19,20,Corrected Transformed Vegetation Index,CTVI,"NDVI+0,5|NDVI+0,5|·√|(NDVI)+0,5|","(5-35+3)+0,5|(5-35+3)+0,5|·√|((5-35+3))+0,5|",Automatic,More,"The Corrected Transformed Vegetation Index (CTVI) is a vegetation index designed to reduce the effect of atmospheric scattering, especially in areas with high aerosol concentrations. CTVI is calculated as follows: CTVI = (R_NIR - R_Green - (R_NIR - R_Blue) * (R_NIR / R_Blue)) / (R_NIR + R_Green + R_Blue). R_NIR, R_Green, and R_Blue represent the reflectance values in the near-infrared, green, and blue bands, respectively. CTVI is particularly useful for monitoring vegetation in areas with dense aerosols, such as urban environments or regions affected by smoke or dust."
20,21,CRI550,CRI550,[510](-1)-[550](-1),2(-1)-3(-1),Automatic,More,"CRI550 (Chlorophyll Red Index 550) is a Sentinel-2 vegetation index sensitive to chlorophyll content in vegetation. It is calculated using the reflectance values of bands 5 (red) and 6 (near-infrared) of the Sentinel-2 MultiSpectral Instrument (MSI). CRI550 is particularly useful for monitoring vegetation health and biomass, as it is strongly correlated with leaf chlorophyll concentration. Higher CRI550 values indicate higher chlorophyll content and, therefore, healthier and more productive vegetation."
21,22,CRI700,CRI700,[510](-1)-[700](-1),2(-1)-5(-1),Automatic,More,"CRI700 (Crop Ratio Index 700) is a vegetation index that measures the difference in reflectance between the red (665 nm) and near-infrared (705 nm) bands of the Sentinel-2 satellite. CRI700 is sensitive to changes in chlorophyll content and leaf area index, and has been shown to be useful for monitoring crop health and biomass. High values of CRI700 indicate healthy vegetation with high chlorophyll content and leaf area index, while low values indicate stressed vegetation or bare soil."
22,23,Datt1,Datt1,850nm-710nm850nm-680nm,8-58-4,Automatic,More,"Datt1 is a vegetation index that uses the near-infrared (NIR) and red bands of the Sentinel-2 satellite imagery to estimate the amount of vegetation present in a given area. It is calculated as:

Datt1 = (NIR - Red) / (NIR + Red)

Datt1 values range from -1 to 1, with higher values indicating more vegetation. Datt1 is commonly used to map vegetation cover, monitor vegetation health, and estimate crop yields."
23,24,Datt4,Datt4,672nm550nm·708nm,43·5,Automatic,More,"Datt4 is a vegetation index that measures the chlorophyll content of leaves. It is calculated using the reflectance values of bands 4 and 3 of the Sentinel-2 satellite. Datt4 values range from -1 to 1, with higher values indicating higher chlorophyll content. Datt4 is commonly used to monitor vegetation health and productivity, as well as to estimate crop yields."
24,25,Datt6,Datt6,860nm550nm·708nm,8a3·5,Automatic,More,"Datt6 is an index designed to monitor crop water stress, particularly in areas affected by drought. It is formulated as a ratio between the reflectance measured in the near-infrared (NIR) and shortwave infrared (SWIR) bands, specifically NIR/SWIR. Datt6 is sensitive to changes in plant water content, with higher values indicating increased water stress. This index is commonly used in agricultural applications to assess crop health, irrigation requirements, and drought severity."
25,26,Difference 678/500,D678/500,678nm-500nm,2024-02-04 00:00:00,Automatic,More,"The Difference 678/500 index is a vegetation index that measures the difference in reflectance between two spectral bands, specifically, band 5 (678nm) and band 4 (500nm), in the Sentinel-2 satellite imagery. This index is designed to highlight areas with high vegetation cover, as healthy vegetation typically has high reflectance in the near-infrared band (band 5) and low reflectance in the green band (band 4). A higher Difference 678/500 index value indicates denser and healthier vegetation, while lower values indicate sparse or stressed vegetation."
26,27,Difference 800/550,D800/550,800nm-550nm,2024-03-08 00:00:00,Automatic,More,"The D800/550 index, also known as the Difference 800/550, is a measure of the relative absorption of radiation by chlorophyll and carotenoids in plant canopies. It is calculated by subtracting the reflectance in the red edge band (800 nm) from the reflectance in the green band (550 nm). The resulting value is positive for healthy vegetation, as chlorophyll absorbs more radiation in the green band than in the red edge band, and negative for non-vegetated surfaces or senescent vegetation. The D800/550 index is often used for detecting vegetation cover, monitoring vegetation health, and estimating leaf area index."
27,28,Difference 800/680,D800/680,800nm-680nm,2024-04-08 00:00:00,Automatic,More,"The Difference 800/680 index is a spectral index that uses the reflectance values of Sentinel-2 bands 8 (865 nm) and 6 (665 nm) to calculate the difference between the two bands. This index is sensitive to the presence of vegetation, as chlorophyll absorbs light in the red (665 nm) band and reflects light in the near-infrared (865 nm) band. Higher values of the Difference 800/680 index indicate a greater presence of vegetation, while lower values indicate less vegetation or other land cover types."
28,29,Difference 833/658,D833/658,833nm-658nm,2024-04-08 00:00:00,Automatic,More,"The D833/658 index, also known as the Difference 833/658 index, is a spectral index derived from the Sentinel-2 satellite imagery. It measures the difference in reflectance between bands 8 (near-infrared) and 6 (red edge) of the electromagnetic spectrum. This index is commonly used to highlight vegetation areas, as healthy vegetation absorbs more red light and reflects more near-infrared light. Higher values of the D833/658 index indicate denser and healthier vegetation, while lower values indicate sparse or stressed vegetation."
29,30,Difference NIR/Green Green Difference Vegetation Index,GDVI,NIR-G,2024-03-09 00:00:00,Automatic,More,"The Green Difference Vegetation Index (GDVI) is a normalized difference vegetation index that uses the difference between near-infrared (NIR) and green bands to measure the density and greenness of vegetation. It is calculated as (NIR - Green) / (NIR + Green). GDVI values range from -1 to 1, with higher values indicating denser and greener vegetation. GDVI is particularly sensitive to changes in leaf chlorophyll content and can be used to monitor vegetation health, crop yield, and land cover changes. It is widely used in remote sensing applications due to its simplicity and effectiveness in identifying and quantifying vegetation cover."
30,31,Differenced Vegetation Index MSS,DVIMSS,2.4[800:1100]-[600:700],2.49-4,Automatic,More,"The Differenced Vegetation Index MSS (DVIMSS) is a spectral index that utilizes the near-infrared (NIR) and shortwave infrared (SWIR) bands of Sentinel-2 satellite imagery to quantify vegetation cover and vigor. It is calculated as the difference between the NIR and SWIR bands. DVIMSS values range from negative (low vegetation cover) to positive (high vegetation cover). Areas with abundant vegetation typically exhibit high DVIMSS values, while areas with sparse or no vegetation have lower DVIMSS values. This index is particularly sensitive to changes in vegetation health and biomass, making it a valuable tool for monitoring forest and agricultural ecosystems, as well as assessing drought stress and land degradation."
31,32,Enhanced Vegetation Index,EVI,2.5NIR-RED(NIR+6RED-7.5BLUE)+1,2.59-5(9+65-7.51)+1,Automatic,More,"The Enhanced Vegetation Index (EVI) is a vegetation index designed to enhance the vegetation signal while minimizing noise from atmospheric and soil background effects. It is calculated from the reflectance values in the red, blue, and near-infrared (NIR) bands of a satellite image. EVI is particularly useful for monitoring vegetation health and productivity, as it is sensitive to changes in chlorophyll content and canopy structure. EVI values typically range from -1 to 1, with higher values indicating more vigorous vegetation."
32,33,Enhanced Vegetation Index 2,EVI2,2.4NIR-REDNIR+RED+1,2.49-59+5+1,Automatic,More,"Enhanced Vegetation Index 2 (EVI2) is a vegetation index designed to enhance the vegetation signal while minimizing the soil and atmospheric influences. It is a modification of the Enhanced Vegetation Index (EVI), which was developed to address some of the limitations of the Normalized Difference Vegetation Index (NDVI). EVI2 incorporates the blue band into the calculation, which helps to reduce the influence of the soil background and improve the sensitivity to vegetation changes. The index is calculated using the following formula:

EVI2 = 2.5 * (NIR - RED) / (NIR + 2.4 * RED + 1)

where NIR is the near-infrared band, and RED is the red band.

EVI2 values range from -1 to 1, with higher values indicating denser and more vigorous vegetation. The index is widely used for vegetation monitoring, land cover classification, and agricultural applications."
33,34,Enhanced Vegetation Index 2 -2,EVI2,2.5NIR-REDNIR+2.4RED+1,2.59-59+2.45+1,Automatic,More,"Enhanced Vegetation Index 2 (EVI2): A modified version of the Enhanced Vegetation Index (EVI), designed to minimize the influence of atmospheric effects and soil background noise, resulting in a more sensitive measure of vegetation greenness and health."
34,35,EPI,EPI,a[672]([550]·[708])b,a4(3·5)b,Automatic,More,"Enhanced Vegetation Index (EPI)

The Enhanced Vegetation Index (EPI) is a vegetation index that is calculated using data from the near-infrared (NIR) and red (Red) bands of Sentinel-2 imagery. EPI is a measure of the amount of green vegetation in an area, and it is often used to monitor vegetation health and growth. EPI values range from -1 to 1, with higher values indicating more green vegetation."
35,36,"Ferric iron, Fe2+",Fe2+,[2145:2185][760:860]+[520:600][630:690],128+34,Automatic,More,"Ferric iron (Fe2+) is an index that measures the abundance of ferric iron in soil and rock surfaces. Fe2+ is a key component of many minerals, including hematite and magnetite, which give soils and rocks their characteristic red and black colors. The presence of Fe2+ can also indicate the presence of other minerals, such as sulfides and carbonates. 

Fe2+ is calculated from Sentinel-2 imagery using a band ratio method. The ratio of the green band to the red band is used to estimate the amount of Fe2+ in the soil. Higher values of Fe2+ indicate a higher concentration of ferric iron in the soil."
36,37,"Ferric iron, Fe3+",Fe3+,[630:690][520:600],43,Automatic,More,"Ferric iron (Fe3+) is an essential nutrient for plants and microorganisms. It is involved in various physiological processes, including photosynthesis, respiration, and nitrogen fixation. The Fe3+ index is a measure of the amount of ferric iron in a given area. It is derived from Sentinel-2 satellite imagery and can be used to monitor the health of vegetation and identify areas of iron deficiency."
37,38,Ferric Oxides,,[1600:1700][760:860],118,Automatic,More,"Ferric oxides are minerals containing iron in the ferric state (Fe3+). They are commonly found in soils and rocks and are often responsible for their reddish or brownish color. The Ferric Oxides index is calculated using Sentinel-2 imagery and provides information on the presence and abundance of ferric oxides in the observed area. This index can be used to map soil types, identify mineral deposits, and study geological processes."
38,39,Ferrous iron,,[2145:2185][760:860]+[520:600][630:690],128+34,Automatic,More,"Ferrous iron is an index used in remote sensing to measure the amount of iron in a given area. It is calculated using a combination of visible and infrared bands from Sentinel 2 imagery. Ferrous iron is an important indicator of the health of vegetation, as it is essential for photosynthesis. It can also be used to map mineral deposits and to track the progress of environmental remediation projects."
39,40,Ferrous Silicates,,[2145:2185][1600:1700],1211,Automatic,More,"Ferrous Silicates index pertains to the proportion of iron in a given area. It is a proxy for the presence of mafic and ultramafic minerals, which are composed of iron-bearing silicates such as pyroxene and olivine. High values of Ferrous Silicates index indicate a high concentration of these minerals, which can be indicative of volcanic activity, or the presence of iron-rich rocks and soils."
40,41,Global Environment Monitoring Index,GEMI,(n(1-0.25n)-RED-0.1251-RED),(2(92-52)+1.59+0.559+5+0.5(1-0.252(92-52)+1.59+0.559+5+0.5)-5-0.1251-5),Automatic,More,"**Global Environment Monitoring Index (GEMI)**

The Global Environment Monitoring Index (GEMI) is a vegetation index derived from Sentinel-2 imagery that provides information about the health and vigor of vegetation. It is calculated using a combination of red, green, and near-infrared bands, and is sensitive to changes in chlorophyll content, leaf area index, and canopy cover. GEMI has been widely used for monitoring vegetation dynamics, assessing crop health, and detecting environmental stress. Higher GEMI values indicate healthier and more vigorous vegetation, while lower values indicate vegetation that is stressed or damaged."
41,42,Global Vegetation Moisture Index,GVMI,(NIR+0.1)-(SWIR+0.02)(NIR+0.1)+(SWIR+0.02),(9+0.1)-(12+0.02)(9+0.1)+(12+0.02),Automatic,More,"The Global Vegetation Moisture Index (GVMI) is a spectral index that estimates vegetation water content from remotely sensed optical data. It combines information from the near-infrared (NIR) and shortwave infrared (SWIR) bands to quantify the amount of water absorbed by vegetation. GVMI values range from 0 to 1, with higher values indicating greater vegetation water content. It is a useful metric for monitoring vegetation health, drought stress, and irrigation management."
42,43,Gossan,,[1600:1700][630:690],114,Automatic,More,"The Gossan index is designed to identify areas with potential mineral deposits by analyzing the spectral reflectance of iron oxides in the visible and near-infrared wavelengths. It capitalizes on the unique spectral signature of gossans, which are surface expressions of mineralized zones, characterized by the presence of iron oxides and hydroxides. The index values range from negative to positive, with higher values indicating a higher probability of gossan presence. This index is particularly useful in exploration for copper, gold, and iron ore deposits."
43,44,Green atmospherically resistant vegetation index,GARI,NIR-(GREEN-(BLUE-RED))NIR-(GREEN+(BLUE-RED)),9-(3-(1-5))9-(3+(1-5)),Automatic,More,"The Green Atmospherically Resistant Vegetation Index (GARI) is a vegetation index designed to quantify the amount of green vegetation present in an area. It is calculated using a combination of the green, red, and near-infrared bands of the Sentinel-2 satellite imagery. The GARI index is particularly useful for monitoring vegetation in areas with high levels of atmospheric interference, such as haze or smoke, as it is less affected by these factors than other vegetation indices. Higher GARI values indicate a higher density of green vegetation."
44,45,Green leaf index,GLI,2GREEN-RED-BLUE2GREEN+RED+BLUE,23-5-123+5+1,Automatic,More,"The Green Leaf Index (GLI) is a vegetation index calculated from Sentinel-2 imagery. It is used to estimate the amount of photosynthetically active vegetation in a given area. The GLI is calculated as the ratio of the near-infrared (NIR) and green bands of the Sentinel-2 imagery. NIR radiation is strongly reflected by healthy vegetation, while green radiation is absorbed by chlorophyll in the leaves. Therefore, a high GLI value indicates a high density of healthy vegetation. GLI can be used to monitor vegetation health, biomass, and crop yields. Additionally, it can be used to identify areas of deforestation and land degradation."
45,46,Green Normalized Difference Vegetation Index,GNDVI,NIR-[540:570]NIR+[540:570],9-39+3,Automatic,More,"The Green Normalized Difference Vegetation Index (GNDVI) is a vegetation index that measures the amount of green vegetation in an area. It is calculated using the following formula:

GNDVI = (Green - Red) / (Green + Red)

where Green is the reflectance value in the green band and Red is the reflectance value in the red band.

The GNDVI ranges from -1 to 1. Values close to 1 indicate high levels of green vegetation, while values close to -1 indicate low levels of green vegetation. The GNDVI is often used to monitor vegetation health and to estimate the amount of biomass in an area."
46,47,Green Optimized Soil Adjusted Vegetation Index,GOSAVI,NIR-GNIR+G+Y,9-39+3+Y,Automatic,More,"Green Optimized Soil Adjusted Vegetation Index (GOSAVI) is a vegetation index designed to enhance vegetation signal while minimizing soil background influence. GOSAVI utilizes a combination of green, red, and near-infrared bands and incorporates soil adjustment factors to suppress soil reflectance, particularly in arid and semi-arid regions where soil can significantly impact vegetation indices. By isolating vegetation reflectance, GOSAVI provides a more accurate representation of vegetation cover, health, and productivity, making it suitable for monitoring vegetation dynamics, crop health assessment, and land cover classification."
47,48,Green Soil Adjusted Vegetation Index,GSAVI,NIR-GNIR+G+L(1+L),9-39+3+L(1+L),Automatic,More,"Green Soil Adjusted Vegetation Index (GSAVI) is a vegetation index that uses a combination of the green, red, and near-infrared (NIR) bands of Sentinel 2 imagery to estimate the amount of chlorophyll in vegetation. It is specifically designed to minimize the effects of soil brightness, which can interfere with the accuracy of other vegetation indices. GSAVI is calculated as follows:

GSAVI = (NIR - Green) / (NIR + Green + Red)"
48,49,Green-Blue NDVI,GBNDVI,NIR-(GREEN+BLUE)NIR+(GREEN+BLUE),9-(3+1)9+(3+1),Automatic,More,"The Green-Blue Normalized Difference Vegetation Index (GBNDVI) is a vegetation index that uses the green and blue bands of the Sentinel-2 satellite imagery to estimate the amount of vegetation present in a given area. GBNDVI is calculated as follows:

GBNDVI = (Green - Blue) / (Green + Blue)

where Green is the reflectance value of the green band and Blue is the reflectance value of the blue band.

GBNDVI values range from -1 to 1, with higher values indicating more vegetation. GBNDVI is particularly sensitive to changes in vegetation cover, making it a useful tool for monitoring deforestation, agricultural practices, and other land-use changes."
49,50,Green-Red NDVI,GRNDVI,NIR-(GREEN+RED)NIR+(GREEN+RED),9-(3+5)9+(3+5),Automatic,More,"The Green-Red NDVI (GRNDVI) is a type of Normalized Difference Vegetation Index (NDVI) that utilizes the green and red bands of Sentinel-2 satellite imagery. It is calculated as:

(Green - Red) / (Green + Red)

The GRNDVI is particularly sensitive to chlorophyll content in vegetation and provides information about the amount and health of photosynthetically active vegetation. Higher GRNDVI values indicate denser and healthier vegetation, while lower values represent sparse or unhealthy vegetation. The GRNDVI is widely used in remote sensing applications for monitoring vegetation cover, biomass estimation, and land cover classification."
50,51,Hue,H,arctan(2R-G-B30.5(G-B)),arctan(25-3-130.5(3-1)),Automatic,More,"Hue is an angle representing the dominant color in a three-dimensional color space. In the case of Sentinel-2 imagery, the three dimensions are the red, green, and blue (RGB) bands. The hue is calculated as the angle between the vector representing the pixel's RGB values and the vector representing the red axis in the RGB color space. Hue is expressed in degrees, with 0° representing red, 120° representing green, and 240° representing blue."
51,52,Ideal vegetation index,IVI,NIR-ba·RED,9-ba·5,Automatic,More,"The Ideal Vegetation Index (IVI) is a spectral index that utilizes a combination of Sentinel-2 bands to provide an accurate estimation of green vegetation cover. IVI is formulated to minimize noise from soil and atmospheric influences, making it particularly suitable for monitoring vegetation health and biomass in various ecosystems. The index effectively captures the spectral response of vegetation, allowing for precise quantification of vegetation abundance and vigor."
